user_id,products,reviews
6366584,1597,107
11402551,444,108
5047735,1941,113
5337314,1252,182
5382866,2723,87
6415396,3531,124
9082536,750,537
9966160,3842,95
11252439,344,144
11422252,700,80
11606206,523,84
11656042,2745,97
11790645,1596,131
11899656,1852,156
12142129,4121,324
1054344,2263,456
1741556,284,93
1992065,1477,104
2801456,1069,137
2867240,1555,126
3071640,306,87
3783752,793,89
3986330,667,84
4528511,371,175
4588515,852,272
4704530,738,85
5708446,294,86
6119536,4910,111
6617926,563,91
6769237,283,125
7272051,309,89
7933410,318,107
7958771,168,87
8443614,3663,143
9696663,4004,92
10243247,2765,259
1393586,1635,173
4748296,845,237
7372560,3131,719
7761503,1188,107
8975587,659,107
9643716,660,434
10103939,1009,92
10737620,7212,277
11543414,650,370
11991192,246,121
12143177,902,86
12665011,5983,194
12822968,468,99
13282569,885,111
13559612,769,84
414761,1398,370
2988804,1380,105
3925150,2780,121
4452307,671,140
5021229,200,99
5047129,1285,259
5153336,400,127
5662479,303,100
5702233,6450,152
6055390,67,87
6180373,879,462
6653249,583,84
6682751,721,127
6732547,9321,271
6825413,2502,652
7267635,516,113
7436826,470,177
7802561,358,135
8627815,419,89
9132432,1374,138
9599514,289,164
10390947,666,108
10622864,1359,99
10632503,330,94
10888620,356,108
12214725,419,86
281578,834,278
11354019,333,84
3568442,1509,95
6210946,641,89
6317671,649,104
6764086,552,225
7425529,529,139
7959429,1350,98
10001643,1427,311
10131543,342,90
11330370,2499,87
11555906,1242,166
11629035,563,168
11858656,801,113
11939597,3147,92
12036988,899,96
12121708,2166,144
12410935,3284,165
13077484,2479,113
13091603,751,86
14260222,1867,94
657377,735,233
980557,752,120
2032724,4988,204
2208163,2941,97
3083370,354,197
4299352,939,227
5009035,1025,140
5213352,1869,80
5755065,2928,114
6380920,212,109
6467819,304,107
6749402,328,186
6825668,684,100
7172526,336,90
7267617,3488,91
7486438,952,376
7619042,2107,111
7847082,2129,86
8291910,935,102
8683655,203,94
8979724,383,88
9480554,1871,80
10527370,364,115
10851984,273,115
6162908,323,148
6378724,797,92
6612841,3911,397
6897451,3523,334
7551361,822,85
8418606,1471,80
10287553,9877,99
10804333,628,81
11033298,1213,305
11045809,360,88
11263036,1547,126
11350990,370,131
11594012,921,276
11873267,3952,81
12030137,1185,91
14204770,698,142
2786557,4005,335
2843228,538,128
3627377,1180,119
3818255,1308,205
4268215,425,159
4565165,579,233
5117018,546,358
5345714,2336,272
5700545,590,111
5743484,1273,97
5776567,449,134
5792806,394,81
5964378,5879,101
6175200,782,340
6302634,287,146
6434600,1123,475
6935257,390,138
7042875,417,221
7659261,1015,321
7844119,384,91
8346981,279,155
10016727,1382,254
10101853,275,108
10877567,394,139
12653770,186,201
1867447,427,97
2317527,256,697
11256476,700,105
11867389,875,130
603413,1142,166
1241752,2052,86
4764355,2231,90
6244750,2438,89
6603103,1115,181
6929851,473,82
7046123,502,87
